second,avg_latency_ms_consul,throughput_consul,cumulative_throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_etcd2,throughput_etcd2,cumulative_throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
0,13.021351,13,13,1.19,19.68,4.484004,64,64,1.97,27.23,4.542534,51,51,1.25,35.70,4.789226,186,186,5.12,63.42
1,14.669485,69,82,1.30,19.88,4.298409,232,296,2.68,29.73,4.165192,239,290,1.27,35.70,4.131589,242,428,6.31,69.37
2,14.199301,70,152,1.43,19.99,4.484877,223,519,3.30,33.46,4.200477,238,528,1.31,37.43,3.987953,251,679,7.26,74.33
3,13.857661,72,224,1.56,19.99,4.587855,218,737,3.92,35.94,4.040324,247,775,1.36,39.41,3.915353,255,934,7.71,77.70
4,14.155144,71,295,1.69,20.23,4.498676,222,959,4.47,37.66,4.157717,240,1015,1.41,40.81,3.965879,252,1186,8.11,81.12
5,13.764958,73,368,1.81,20.43,4.538581,219,1178,5.03,39.27,4.305007,232,1247,1.46,41.86,4.032202,248,1434,8.34,83.28
6,13.783243,72,440,1.94,20.52,4.557009,220,1398,5.54,40.35,4.096103,244,1491,1.51,42.83,4.090296,244,1678,8.56,85.96
7,13.726855,73,513,2.06,20.66,4.633686,216,1614,5.99,41.60,4.162375,240,1731,1.56,43.71,4.037908,248,1926,9.12,91.11
8,13.487712,74,587,2.16,20.66,4.396694,227,1841,6.47,42.65,3.987395,250,1981,1.61,45.65,4.112774,243,2169,9.27,94.49
9,14.370130,70,657,2.26,20.62,4.621301,217,2058,6.85,42.83,4.256282,235,2216,1.66,46.09,4.183339,239,2408,9.28,96.54
10,13.782453,72,729,2.37,20.71,4.524466,221,2279,7.25,42.91,4.115701,242,2458,1.71,46.61,4.030403,248,2656,9.45,99.32
11,13.744337,73,802,2.47,20.89,4.594128,217,2496,7.70,43.95,4.350559,230,2688,1.76,46.78,4.149093,241,2897,10.06,107.96
12,14.133778,70,872,2.57,20.97,4.617156,217,2713,8.04,44.13,4.393228,226,2914,1.81,47.04,4.204760,237,3134,10.14,108.99
13,14.378315,70,942,2.66,20.97,4.670691,214,2927,8.39,44.32,4.094764,245,3159,1.85,47.04,4.138998,242,3376,10.34,110.23
14,14.284070,70,1012,2.74,20.97,4.586600,218,3145,8.69,44.50,4.178178,239,3398,1.90,47.22,4.257727,235,3611,10.44,115.01
15,14.395045,70,1082,2.83,21.21,4.583382,217,3362,9.02,45.03,4.123677,242,3640,1.95,47.43,4.117293,242,3853,10.49,115.02
16,14.637570,68,1150,2.92,21.50,4.688668,214,3576,9.30,45.56,4.282763,233,3873,1.99,47.60,4.146554,242,4095,10.53,115.55
17,14.450892,69,1219,3.00,21.77,4.629460,215,3791,9.52,45.56,3.970297,251,4124,2.04,48.05,4.176817,239,4334,10.55,116.25
18,14.531104,69,1288,3.08,21.35,4.528328,221,4012,9.79,46.12,4.234554,236,4360,2.09,48.84,4.164437,240,4574,10.54,116.41
19,14.397510,69,1357,3.15,21.35,4.626603,216,4228,10.07,47.13,4.205715,237,4597,2.13,48.93,3.992785,250,4824,10.57,117.09
20,14.126538,71,1428,3.23,21.52,4.580167,219,4447,10.33,47.40,4.227011,237,4834,2.18,49.61,4.073229,246,5070,10.59,117.77
21,14.113058,71,1499,3.30,21.63,4.673123,214,4661,10.55,47.59,4.347615,229,5063,2.23,49.79,4.002408,250,5320,10.73,120.12
22,14.503586,69,1568,3.37,22.00,4.640516,215,4876,10.79,47.95,4.251374,235,5298,2.27,50.29,3.990761,250,5570,11.76,128.98
23,14.621472,68,1636,3.44,22.38,4.639665,216,5092,11.00,48.95,4.253649,235,5533,2.31,50.29,3.913927,255,5825,12.08,128.98
24,14.218627,71,1707,3.50,22.68,4.718423,211,5303,11.18,49.04,4.401100,226,5759,2.36,50.47,3.899313,257,6082,12.03,128.98
25,15.042446,66,1773,3.56,22.82,4.543591,220,5523,11.38,49.40,4.114951,243,6002,2.40,50.47,3.919834,255,6337,12.01,128.98
26,14.467638,69,1842,3.63,22.82,4.689957,214,5737,11.58,49.68,4.288098,233,6235,2.44,50.64,3.983447,251,6588,12.08,128.78
27,14.416802,69,1911,3.69,23.04,4.565722,215,5952,11.73,49.68,4.290594,233,6468,2.49,51.24,3.957203,252,6840,12.11,128.25
28,14.994769,67,1978,3.76,23.75,4.628910,219,6171,11.92,49.86,4.377855,228,6696,2.53,51.26,3.935565,254,7094,12.05,127.90
29,13.759270,73,2051,3.82,23.96,4.776986,210,6381,12.07,50.49,4.535633,220,6916,2.57,51.43,3.946656,253,7347,12.03,130.63
30,14.211051,70,2121,3.88,24.07,4.659037,214,6595,12.20,51.55,4.304821,232,7148,2.61,52.22,3.913849,255,7602,11.98,130.63
31,14.788489,68,2189,3.93,24.24,4.606457,217,6812,12.38,51.92,4.407114,226,7374,2.66,52.38,4.037766,248,7850,11.93,130.48
32,14.430908,69,2258,3.98,24.33,4.593098,217,7029,12.51,52.64,4.307935,232,7606,2.70,52.80,4.052787,247,8097,11.90,129.99
33,14.619156,68,2326,4.03,24.42,4.707425,212,7241,12.63,55.10,4.184183,238,7844,2.74,53.36,4.017194,249,8346,11.86,129.60
