unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458757815,13.021351,13,13,1.63,20.30,1.07,19.22,0.86,19.52,1.19,19.68
1458757816,14.669485,69,82,1.78,20.40,1.16,19.43,0.96,19.80,1.30,19.88
1458757817,14.199301,70,152,1.92,20.44,1.29,19.84,1.09,19.70,1.43,19.99
1458757818,13.857661,72,224,2.07,20.44,1.41,19.84,1.20,19.70,1.56,19.99
1458757819,14.155144,71,295,2.24,21.08,1.52,19.98,1.32,19.64,1.69,20.23
1458757820,13.764958,73,368,2.37,21.68,1.62,19.98,1.44,19.64,1.81,20.43
1458757821,13.783243,72,440,2.53,21.94,1.74,19.98,1.55,19.64,1.94,20.52
1458757822,13.726855,73,513,2.67,21.94,1.86,19.98,1.64,20.07,2.06,20.66
1458757823,13.487712,74,587,2.80,21.94,1.95,19.98,1.73,20.07,2.16,20.66
1458757824,14.370130,70,657,2.91,22.00,2.06,19.85,1.82,20.02,2.26,20.62
1458757825,13.782453,72,729,3.06,22.00,2.14,19.85,1.90,20.27,2.37,20.71
1458757826,13.744337,73,802,3.18,22.29,2.25,20.12,1.98,20.27,2.47,20.89
1458757827,14.133778,70,872,3.30,22.29,2.33,20.12,2.07,20.51,2.57,20.97
1458757828,14.378315,70,942,3.40,22.29,2.42,20.12,2.15,20.51,2.66,20.97
1458757829,14.284070,70,1012,3.51,22.29,2.50,20.12,2.22,20.51,2.74,20.97
1458757830,14.395045,70,1082,3.62,22.69,2.57,20.12,2.29,20.82,2.83,21.21
1458757831,14.637570,68,1150,3.72,22.69,2.65,20.98,2.38,20.82,2.92,21.50
1458757832,14.450892,69,1219,3.82,23.50,2.72,20.98,2.46,20.82,3.00,21.77
1458757833,14.531104,69,1288,3.92,22.89,2.80,20.57,2.51,20.58,3.08,21.35
1458757834,14.397510,69,1357,4.00,22.89,2.87,20.57,2.59,20.58,3.15,21.35
1458757835,14.126538,71,1428,4.09,23.15,2.94,20.82,2.65,20.58,3.23,21.52
1458757836,14.113058,71,1499,4.18,23.50,3.01,20.82,2.71,20.58,3.30,21.63
1458757837,14.503586,69,1568,4.27,24.34,3.09,20.82,2.75,20.84,3.37,22.00
1458757838,14.621472,68,1636,4.34,24.34,3.15,21.08,2.82,21.73,3.44,22.38
1458757839,14.218627,71,1707,4.43,25.23,3.20,21.08,2.88,21.73,3.50,22.68
1458757840,15.042446,66,1773,4.50,25.66,3.25,21.08,2.93,21.73,3.56,22.82
1458757841,14.467638,69,1842,4.58,25.66,3.34,21.08,2.98,21.73,3.63,22.82
1458757842,14.416802,69,1911,4.66,25.66,3.38,21.34,3.03,22.11,3.69,23.04
1458757843,14.994769,67,1978,4.73,25.66,3.45,22.28,3.09,23.32,3.76,23.75
1458757844,13.759270,73,2051,4.80,25.66,3.51,22.66,3.14,23.56,3.82,23.96
1458757845,14.211051,70,2121,4.88,25.98,3.56,22.66,3.19,23.56,3.88,24.07
1458757846,14.788489,68,2189,4.94,25.98,3.61,22.66,3.25,24.09,3.93,24.24
1458757847,14.430908,69,2258,5.01,26.25,3.66,22.66,3.28,24.09,3.98,24.33
1458757848,14.619156,68,2326,5.07,26.51,3.70,22.66,3.33,24.09,4.03,24.42
1458757849,14.923142,67,2393,5.15,26.51,3.76,22.96,3.38,24.46,4.10,24.64
1458757850,14.651334,69,2462,5.21,26.51,3.81,22.96,3.43,24.46,4.15,24.64
1458757851,14.704574,68,2530,5.27,25.58,3.86,22.01,3.47,23.37,4.20,23.65
