unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458758332,4.542534,51,51,1.38,39.10,1.18,33.73,1.18,34.28,1.25,35.70
1458758333,4.165192,239,290,1.40,39.10,1.20,33.73,1.20,34.28,1.27,35.70
1458758334,4.200477,238,528,1.46,42.74,1.23,33.73,1.25,35.82,1.31,37.43
1458758335,4.040324,247,775,1.53,46.43,1.27,34.40,1.29,37.40,1.36,39.41
1458758336,4.157717,240,1015,1.59,47.48,1.31,35.98,1.33,38.97,1.41,40.81
1458758337,4.305007,232,1247,1.66,47.48,1.36,37.56,1.37,40.55,1.46,41.86
1458758338,4.096103,244,1491,1.72,47.48,1.40,38.88,1.42,42.12,1.51,42.83
1458758339,4.162375,240,1731,1.78,47.48,1.44,40.20,1.46,43.44,1.56,43.71
1458758340,3.987395,250,1981,1.85,49.20,1.48,42.03,1.50,45.72,1.61,45.65
1458758341,4.256282,235,2216,1.92,49.20,1.52,43.35,1.54,45.72,1.66,46.09
1458758342,4.115701,242,2458,1.98,49.20,1.56,44.92,1.58,45.72,1.71,46.61
1458758343,4.350559,230,2688,2.04,49.45,1.60,45.18,1.63,45.72,1.76,46.78
1458758344,4.393228,226,2914,2.11,49.97,1.64,45.18,1.67,45.98,1.81,47.04
1458758345,4.094764,245,3159,2.17,49.97,1.68,45.18,1.71,45.98,1.85,47.04
1458758346,4.178178,239,3398,2.24,50.24,1.71,45.44,1.75,45.98,1.90,47.22
1458758347,4.123677,242,3640,2.30,50.24,1.76,46.07,1.79,45.98,1.95,47.43
1458758348,4.282763,233,3873,2.36,50.24,1.79,46.07,1.83,46.48,1.99,47.60
1458758349,3.970297,251,4124,2.43,51.21,1.83,46.07,1.86,46.88,2.04,48.05
1458758350,4.234554,236,4360,2.49,51.72,1.87,46.34,1.90,48.45,2.09,48.84
1458758351,4.205715,237,4597,2.55,51.72,1.91,46.34,1.94,48.72,2.13,48.93
1458758352,4.227011,237,4834,2.61,51.72,1.95,47.90,1.98,49.22,2.18,49.61
1458758353,4.347615,229,5063,2.67,51.72,2.00,48.42,2.01,49.22,2.23,49.79
1458758354,4.251374,235,5298,2.73,53.24,2.03,48.42,2.05,49.22,2.27,50.29
1458758355,4.253649,235,5533,2.79,53.24,2.07,48.42,2.08,49.22,2.31,50.29
1458758356,4.401100,226,5759,2.85,53.76,2.10,48.42,2.12,49.22,2.36,50.47
1458758357,4.114951,243,6002,2.91,53.76,2.14,48.42,2.16,49.22,2.40,50.47
1458758358,4.288098,233,6235,2.97,53.76,2.17,48.42,2.19,49.75,2.44,50.64
1458758359,4.290594,233,6468,3.03,55.04,2.21,48.42,2.23,50.26,2.49,51.24
1458758360,4.377855,228,6696,3.09,55.09,2.24,48.42,2.27,50.26,2.53,51.26
1458758361,4.535633,220,6916,3.14,55.09,2.27,48.95,2.30,50.26,2.57,51.43
1458758362,4.304821,232,7148,3.20,55.62,2.30,49.47,2.34,51.56,2.61,52.22
1458758363,4.407114,226,7374,3.26,55.62,2.33,49.95,2.38,51.56,2.66,52.38
1458758364,4.307935,232,7606,3.31,55.87,2.37,50.97,2.41,51.56,2.70,52.80
1458758365,4.184183,238,7844,3.38,56.32,2.40,51.67,2.45,52.09,2.74,53.36
1458758366,4.370743,229,8073,3.43,56.32,2.43,51.67,2.48,52.09,2.78,53.36
1458758367,4.228645,236,8309,3.49,56.32,2.47,51.67,2.52,52.09,2.83,53.36
1458758368,4.246488,235,8544,3.54,56.32,2.50,51.93,2.55,52.09,2.86,53.45
1458758369,4.275979,233,8777,3.59,56.32,2.53,51.93,2.59,52.09,2.90,53.45
1458758370,4.300315,232,9009,3.64,57.86,2.56,51.93,2.63,52.09,2.94,53.96
1458758371,4.440152,225,9234,3.70,59.70,2.59,52.72,2.66,52.09,2.98,54.84
1458758372,4.290624,231,9465,3.78,88.03,2.65,86.95,2.73,87.08,3.05,87.35
1458758373,4.340756,231,9696,3.83,88.03,2.68,86.95,2.77,87.08,3.09,87.35
1458758374,4.284406,232,9928,3.89,88.03,2.72,86.95,2.80,87.08,3.14,87.35
1458758375,4.055090,247,10175,3.94,88.03,2.75,86.95,2.84,87.08,3.18,87.35
1458758376,4.318596,231,10406,4.00,88.03,2.78,87.17,2.87,87.08,3.22,87.43
1458758377,4.284412,233,10639,4.05,88.29,2.81,87.17,2.91,87.08,3.26,87.51
1458758378,4.148138,241,10880,4.11,88.29,2.84,87.17,2.94,87.08,3.30,87.51
1458758379,4.368736,228,11108,4.16,88.29,2.87,87.17,2.97,87.08,3.33,87.51
1458758380,4.254639,235,11343,4.20,88.29,2.91,87.17,3.01,87.08,3.37,87.51
1458758381,4.328224,231,11574,4.26,88.29,2.94,87.43,3.05,88.38,3.42,88.03
1458758382,4.301418,232,11806,4.30,88.29,2.97,87.70,3.08,88.38,3.45,88.12
1458758383,4.175443,239,12045,4.35,88.29,3.00,87.70,3.12,88.38,3.49,88.12
1458758384,4.314218,231,12276,4.40,88.29,3.04,87.70,3.15,88.38,3.53,88.12
1458758385,4.404251,226,12502,4.45,88.29,3.07,87.70,3.18,88.38,3.57,88.12
1458758386,4.363293,230,12732,4.50,88.29,3.09,87.70,3.21,88.38,3.60,88.12
1458758387,4.384482,227,12959,4.55,88.29,3.13,87.70,3.25,88.38,3.64,88.12
1458758388,4.133511,242,13201,4.60,88.29,3.16,88.46,3.28,88.64,3.68,88.46
1458758389,4.083524,244,13445,4.66,88.55,3.19,89.77,3.32,90.22,3.72,89.51
1458758390,4.260629,234,13679,4.71,88.55,3.22,92.14,3.35,92.57,3.76,91.09
1458758391,4.174768,239,13918,4.77,88.55,3.25,93.45,3.39,93.63,3.80,91.88
1458758392,4.324511,231,14149,4.81,88.55,3.28,94.77,3.42,93.63,3.84,92.32
1458758393,4.112230,243,14392,4.86,88.55,3.31,97.14,3.45,93.63,3.87,93.11
1458758394,4.155635,240,14632,4.90,88.55,3.34,98.72,3.49,93.63,3.91,93.63
1458758395,4.304034,232,14864,4.95,88.55,3.37,100.04,3.52,93.63,3.95,94.07
1458758396,4.168454,240,15104,5.00,88.55,3.40,101.10,3.55,93.63,3.98,94.43
1458758397,4.276859,233,15337,5.04,88.55,3.44,102.51,3.58,93.63,4.02,94.90
1458758398,4.268432,234,15571,5.09,88.55,3.47,102.51,3.61,93.63,4.06,94.90
1458758399,4.203411,237,15808,5.14,88.55,3.51,102.51,3.64,93.63,4.10,94.90
1458758400,4.214911,237,16045,5.19,88.55,3.54,102.77,3.67,93.63,4.13,94.98
1458758401,4.139471,241,16286,5.24,88.55,3.57,102.77,3.70,93.63,4.17,94.98
1458758402,4.469832,223,16509,5.28,88.55,3.59,102.77,3.73,93.63,4.20,94.98
1458758403,4.458950,224,16733,5.33,88.55,3.63,103.04,3.76,93.63,4.24,95.07
1458758404,4.421152,226,16959,5.38,88.55,3.66,103.04,3.79,93.63,4.28,95.07
1458758405,4.266230,233,17192,5.42,88.55,3.69,103.04,3.82,93.63,4.31,95.07
1458758406,4.272777,235,17427,5.46,88.55,3.71,103.04,3.85,93.63,4.34,95.07
1458758407,4.135455,241,17668,5.51,88.55,3.74,103.04,3.88,93.63,4.38,95.07
1458758408,4.250146,235,17903,5.56,88.55,3.77,103.04,3.91,93.63,4.41,95.07
1458758409,4.333103,230,18133,5.61,88.55,3.81,103.04,3.94,93.63,4.45,95.07
1458758410,4.194209,238,18371,5.66,88.55,3.83,103.04,3.97,93.63,4.49,95.07
1458758411,4.180681,239,18610,5.71,88.55,3.86,103.04,4.00,93.89,4.52,95.16
1458758412,4.109670,243,18853,5.75,88.55,3.89,103.04,4.02,94.65,4.55,95.41
1458758413,4.216726,237,19090,5.79,88.55,3.92,103.04,4.06,94.65,4.59,95.41
1458758414,4.130104,242,19332,5.89,156.84,4.01,145.86,4.14,154.18,4.68,152.29
1458758415,4.196681,237,19569,5.93,156.84,4.03,145.86,4.17,154.18,4.71,152.29
1458758416,4.210053,238,19807,5.98,156.84,4.06,145.86,4.20,154.18,4.75,152.29
1458758417,4.200477,237,20044,6.02,156.84,4.09,145.86,4.23,154.18,4.78,152.29
1458758418,4.261768,234,20278,6.07,156.84,4.12,145.86,4.26,154.18,4.82,152.29
1458758419,4.229839,237,20515,6.11,156.84,4.14,145.86,4.28,154.18,4.84,152.29
1458758420,4.282134,233,20748,6.16,156.84,4.17,145.86,4.31,154.18,4.88,152.29
1458758421,4.347216,230,20978,6.21,156.84,4.19,145.86,4.34,154.18,4.91,152.29
1458758422,4.089758,244,21222,6.26,156.84,4.22,145.86,4.37,154.18,4.95,152.29
1458758423,4.205039,237,21459,6.30,156.84,4.25,145.86,4.40,154.18,4.98,152.29
1458758424,4.074549,246,21705,6.34,156.84,4.28,145.86,4.43,154.18,5.02,152.29
1458758425,4.322009,231,21936,6.38,156.84,4.30,145.86,4.45,154.18,5.04,152.29
1458758426,4.346702,229,22165,6.42,156.84,4.33,145.86,4.48,154.18,5.08,152.29
1458758427,4.270214,234,22399,6.46,156.84,4.35,145.86,4.50,154.18,5.10,152.29
1458758428,4.295255,232,22631,6.49,156.84,4.38,145.86,4.53,154.18,5.13,152.29
1458758429,4.581768,218,22849,6.54,156.84,4.41,145.86,4.55,154.18,5.17,152.29
1458758430,4.323192,231,23080,6.57,156.84,4.43,145.86,4.57,154.18,5.19,152.29
1458758431,4.336574,230,23310,6.61,156.84,4.46,145.86,4.60,154.18,5.22,152.29
1458758432,4.470721,223,23533,6.65,156.84,4.48,145.86,4.62,154.18,5.25,152.29
1458758433,4.336664,230,23763,6.70,157.10,4.52,145.86,4.65,154.18,5.29,152.38
1458758434,4.470094,223,23986,6.75,157.10,4.54,145.86,4.68,154.18,5.32,152.38
1458758435,4.507935,222,24208,6.79,157.10,4.56,145.86,4.71,154.18,5.35,152.38
1458758436,4.477504,223,24431,6.82,157.10,4.59,145.86,4.73,154.18,5.38,152.38
1458758437,4.175205,239,24670,6.86,157.10,4.61,145.86,4.76,154.18,5.41,152.38
1458758438,4.437938,225,24895,6.90,157.10,4.64,145.86,4.79,154.18,5.44,152.38
1458758439,4.358012,229,25124,6.94,157.10,4.67,145.86,4.81,154.18,5.47,152.38
1458758440,4.415401,226,25350,6.98,157.10,4.69,145.86,4.84,154.18,5.50,152.38
1458758441,4.231349,236,25586,7.02,157.10,4.71,145.86,4.86,154.18,5.53,152.38
1458758442,4.383302,227,25813,7.06,157.10,4.73,145.86,4.89,154.18,5.56,152.38
1458758443,4.403832,227,26040,7.10,157.10,4.76,145.86,4.92,154.18,5.59,152.38
1458758444,4.467890,223,26263,7.14,157.10,4.78,145.86,4.94,154.18,5.62,152.38
1458758445,4.433785,225,26488,7.19,157.10,4.80,145.86,4.97,154.18,5.65,152.38
1458758446,4.442586,224,26712,7.23,157.10,4.83,145.86,5.00,154.44,5.69,152.47
1458758447,4.482898,224,26936,7.28,157.10,4.85,145.86,5.02,154.44,5.72,152.47
1458758448,4.305023,232,27168,7.32,157.10,4.87,145.86,5.06,154.44,5.75,152.47
1458758449,4.455434,224,27392,7.36,157.10,4.90,145.86,5.08,154.44,5.78,152.47
1458758450,4.320024,231,27623,7.40,157.10,4.92,145.86,5.10,154.44,5.81,152.47
1458758451,4.288991,233,27856,7.44,157.10,4.94,145.86,5.13,154.44,5.84,152.47
1458758452,4.210600,237,28093,7.48,157.10,4.97,145.86,5.15,154.44,5.87,152.47
1458758453,4.288207,233,28326,7.53,157.10,5.00,145.86,5.17,154.44,5.90,152.47
1458758454,4.220714,236,28562,7.57,157.10,5.02,145.86,5.19,154.44,5.93,152.47
1458758455,4.184722,239,28801,7.61,157.10,5.04,145.86,5.21,154.44,5.95,152.47
1458758456,4.518234,221,29022,7.65,157.10,5.07,145.86,5.23,154.44,5.98,152.47
