unix_ts,avg_latency_ms,throughput
1458758332,4.542534,51
1458758333,4.165192,239
1458758334,4.200477,238
1458758335,4.040324,247
1458758336,4.157717,240
1458758337,4.305007,232
1458758338,4.096103,244
1458758339,4.162375,240
1458758340,3.987395,250
1458758341,4.256282,235
1458758342,4.115701,242
1458758343,4.350559,230
1458758344,4.393228,226
1458758345,4.094764,245
1458758346,4.178178,239
1458758347,4.123677,242
1458758348,4.282763,233
1458758349,3.970297,251
1458758350,4.234554,236
1458758351,4.205715,237
1458758352,4.227011,237
1458758353,4.347615,229
1458758354,4.251374,235
1458758355,4.253649,235
1458758356,4.401100,226
1458758357,4.114951,243
1458758358,4.288098,233
1458758359,4.290594,233
1458758360,4.377855,228
1458758361,4.535633,220
1458758362,4.304821,232
1458758363,4.407114,226
1458758364,4.307935,232
1458758365,4.184183,238
1458758366,4.370743,229
1458758367,4.228645,236
1458758368,4.246488,235
1458758369,4.275979,233
1458758370,4.300315,232
1458758371,4.440152,225
1458758372,4.290624,231
1458758373,4.340756,231
1458758374,4.284406,232
1458758375,4.055090,247
1458758376,4.318596,231
1458758377,4.284412,233
1458758378,4.148138,241
1458758379,4.368736,228
1458758380,4.254639,235
1458758381,4.328224,231
1458758382,4.301418,232
1458758383,4.175443,239
1458758384,4.314218,231
1458758385,4.404251,226
1458758386,4.363293,230
1458758387,4.384482,227
1458758388,4.133511,242
1458758389,4.083524,244
1458758390,4.260629,234
1458758391,4.174768,239
1458758392,4.324511,231
1458758393,4.112230,243
1458758394,4.155635,240
1458758395,4.304034,232
1458758396,4.168454,240
1458758397,4.276859,233
1458758398,4.268432,234
1458758399,4.203411,237
1458758400,4.214911,237
1458758401,4.139471,241
1458758402,4.469832,223
1458758403,4.458950,224
1458758404,4.421152,226
1458758405,4.266230,233
1458758406,4.272777,235
1458758407,4.135455,241
1458758408,4.250146,235
1458758409,4.333103,230
1458758410,4.194209,238
1458758411,4.180681,239
1458758412,4.109670,243
1458758413,4.216726,237
1458758414,4.130104,242
1458758415,4.196681,237
1458758416,4.210053,238
1458758417,4.200477,237
1458758418,4.261768,234
1458758419,4.229839,237
1458758420,4.282134,233
1458758421,4.347216,230
1458758422,4.089758,244
1458758423,4.205039,237
1458758424,4.074549,246
1458758425,4.322009,231
1458758426,4.346702,229
1458758427,4.270214,234
1458758428,4.295255,232
1458758429,4.581768,218
1458758430,4.323192,231
1458758431,4.336574,230
1458758432,4.470721,223
1458758433,4.336664,230
1458758434,4.470094,223
1458758435,4.507935,222
1458758436,4.477504,223
1458758437,4.175205,239
1458758438,4.437938,225
1458758439,4.358012,229
1458758440,4.415401,226
1458758441,4.231349,236
1458758442,4.383302,227
1458758443,4.403832,227
1458758444,4.467890,223
1458758445,4.433785,225
1458758446,4.442586,224
1458758447,4.482898,224
1458758448,4.305023,232
1458758449,4.455434,224
1458758450,4.320024,231
1458758451,4.288991,233
1458758452,4.210600,237
1458758453,4.288207,233
1458758454,4.220714,236
1458758455,4.184722,239
1458758456,4.518234,221
1458758457,4.132897,241
1458758458,4.239564,236
1458758459,4.169934,239
1458758460,4.086506,244
1458758461,4.315082,232
1458758462,4.160056,240
1458758463,4.281361,233
1458758464,4.238096,235
1458758465,4.127912,242
1458758466,4.334785,230
1458758467,4.134826,241
1458758468,4.277530,234
1458758469,4.244734,235
1458758470,4.133013,241
1458758471,4.302252,232
1458758472,4.204969,237
1458758473,4.419709,226
1458758474,4.398544,227
1458758475,4.314095,232
1458758476,4.414663,226
1458758477,4.263612,234
1458758478,4.381416,228
1458758479,4.292415,232
1458758480,4.334992,231
1458758481,4.196896,238
1458758482,4.284808,233
1458758483,4.349758,229
1458758484,4.230572,236
1458758485,4.199530,238
1458758486,4.486532,223
1458758487,4.464023,223
1458758488,4.315055,232
1458758489,4.317784,231
1458758490,4.215590,236
1458758491,4.266858,234
1458758492,4.198734,237
1458758493,4.266828,235
1458758494,4.267410,234
1458758495,4.410427,226
1458758496,4.311707,232
1458758497,4.208006,237
1458758498,4.449030,224
1458758499,4.493722,222
1458758500,4.276973,234
1458758501,4.200877,237
1458758502,4.194271,238
1458758503,4.236928,236
1458758504,4.227529,236
1458758505,4.242277,235
1458758506,4.324064,231
1458758507,4.285717,232
1458758508,4.401334,227
1458758509,4.344840,230
1458758510,4.410297,226
1458758511,4.420908,226
1458758512,4.433427,225
1458758513,4.262405,235
1458758514,4.180356,239
1458758515,4.395012,227
1458758516,4.280633,233
1458758517,4.377318,228
1458758518,4.439060,225
1458758519,4.349098,230
1458758520,4.347892,229
1458758521,4.225361,237
1458758522,4.247246,234
1458758523,4.290098,233
1458758524,4.166523,240
1458758525,4.206006,237
1458758526,4.220924,236
1458758527,4.174254,240
1458758528,4.140124,241
1458758529,4.017787,248
1458758530,4.237892,236
1458758531,4.138410,241
1458758532,4.498431,222
1458758533,4.405319,227
1458758534,4.293960,232
1458758535,4.253845,235
1458758536,4.332491,231
1458758537,4.160815,239
1458758538,4.329425,231
1458758539,4.303961,232
1458758540,4.338907,230
1458758541,4.520102,221
1458758542,4.626321,216
1458758543,4.210623,237
1458758544,4.319317,231
1458758545,4.234959,235
1458758546,4.245465,236
1458758547,4.297127,13
