unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1458758197,java,R (running),20166,20032,0.00 %,2.8 MB,30 MB,64,1,0.00,2780000,30104000
1458758198,java,S (sleeping),20166,20032,46.53 %,54 MB,7.7 GB,64,32,46.53,54188000,7722844000
1458758199,java,S (sleeping),20166,20032,23.88 %,54 MB,7.7 GB,64,32,23.88,54188000,7722844000
1458758200,java,S (sleeping),20166,20032,15.95 %,54 MB,7.7 GB,64,32,15.95,54188000,7722844000
1458758201,java,S (sleeping),20166,20032,11.97 %,54 MB,7.7 GB,64,32,11.97,54188000,7722844000
1458758202,java,S (sleeping),20166,20032,9.76 %,54 MB,7.7 GB,64,32,9.76,54188000,7722844000
1458758203,java,S (sleeping),20166,20032,8.14 %,54 MB,7.7 GB,64,32,8.14,54188000,7722844000
1458758204,java,S (sleeping),20166,20032,6.98 %,54 MB,7.7 GB,64,32,6.98,54188000,7722844000
1458758205,java,S (sleeping),20166,20032,6.11 %,54 MB,7.7 GB,64,32,6.11,54188000,7722844000
1458758206,java,S (sleeping),20166,20032,5.43 %,54 MB,7.7 GB,64,32,5.43,54188000,7722844000
1458758207,java,S (sleeping),20166,20032,4.89 %,54 MB,7.7 GB,64,32,4.89,54188000,7722844000
1458758208,java,S (sleeping),20166,20032,4.44 %,54 MB,7.7 GB,64,32,4.44,54188000,7722844000
1458758209,java,S (sleeping),20166,20032,4.07 %,54 MB,7.7 GB,64,32,4.07,54188000,7722844000
1458758210,java,S (sleeping),20166,20032,4.83 %,58 MB,7.7 GB,64,32,4.83,58540000,7722844000
1458758211,java,S (sleeping),20166,20032,5.84 %,64 MB,7.7 GB,64,32,5.84,63908000,7722844000
1458758212,java,S (sleeping),20166,20032,6.45 %,67 MB,7.7 GB,64,32,6.45,66740000,7722844000
1458758213,java,S (sleeping),20166,20032,6.73 %,68 MB,7.7 GB,64,32,6.73,68372000,7722844000
1458758214,java,S (sleeping),20166,20032,6.87 %,72 MB,7.7 GB,64,32,6.87,72468000,7722844000
1458758215,java,S (sleeping),20166,20032,6.87 %,72 MB,7.7 GB,64,32,6.87,72468000,7722844000
1458758216,java,S (sleeping),20166,20032,7.04 %,75 MB,7.7 GB,64,32,7.04,74640000,7722844000
1458758217,java,S (sleeping),20166,20032,7.23 %,77 MB,7.7 GB,64,32,7.23,76688000,7722844000
1458758218,java,S (sleeping),20166,20032,7.27 %,79 MB,7.7 GB,64,32,7.27,78644000,7722844000
1458758219,java,S (sleeping),20166,20032,7.21 %,81 MB,7.7 GB,64,32,7.21,80692000,7722844000
1458758220,java,S (sleeping),20166,20032,7.38 %,83 MB,7.7 GB,64,32,7.38,82740000,7722844000
1458758221,java,S (sleeping),20166,20032,8.02 %,93 MB,7.7 GB,64,32,8.02,93200000,7722844000
1458758222,java,S (sleeping),20166,20032,8.06 %,93 MB,7.7 GB,64,32,8.06,93200000,7722844000
1458758223,java,S (sleeping),20166,20032,8.21 %,95 MB,7.7 GB,64,32,8.21,94712000,7722844000
1458758224,java,S (sleeping),20166,20032,8.20 %,99 MB,7.7 GB,64,32,8.20,98808000,7722844000
1458758225,java,S (sleeping),20166,20032,8.16 %,99 MB,7.7 GB,64,32,8.16,98808000,7722844000
1458758226,java,S (sleeping),20166,20032,8.09 %,101 MB,7.7 GB,64,32,8.09,100856000,7722844000
1458758227,java,S (sleeping),20166,20032,8.08 %,103 MB,7.7 GB,64,32,8.08,102904000,7722844000
1458758228,java,S (sleeping),20166,20032,8.05 %,103 MB,7.7 GB,64,32,8.05,103364000,7722844000
1458758229,java,S (sleeping),20166,20032,8.04 %,105 MB,7.7 GB,64,32,8.04,105412000,7722844000
1458758230,java,S (sleeping),20166,20032,8.04 %,108 MB,7.7 GB,64,32,8.04,107460000,7722844000
1458758231,java,S (sleeping),20166,20032,8.16 %,112 MB,7.7 GB,64,32,8.16,112176000,7722844000
1458758232,java,S (sleeping),20166,20032,9.01 %,125 MB,7.7 GB,64,32,9.01,125160000,7722844000
1458758233,java,S (sleeping),20166,20032,9.26 %,126 MB,7.7 GB,64,32,9.26,126512000,7722844000
1458758234,java,S (sleeping),20166,20032,9.17 %,126 MB,7.7 GB,64,32,9.17,126512000,7722844000
1458758235,java,S (sleeping),20166,20032,9.14 %,126 MB,7.7 GB,64,32,9.14,126512000,7722844000
1458758236,java,S (sleeping),20166,20032,9.11 %,126 MB,7.7 GB,64,32,9.11,126512000,7722844000
1458758237,java,S (sleeping),20166,20032,9.03 %,126 MB,7.7 GB,64,32,9.03,126512000,7722844000
1458758238,java,S (sleeping),20166,20032,8.96 %,126 MB,7.7 GB,64,32,8.96,125472000,7722844000
1458758239,java,S (sleeping),20166,20032,8.91 %,126 MB,7.7 GB,64,32,8.91,125472000,7722844000
1458758240,java,S (sleeping),20166,20032,8.84 %,126 MB,7.7 GB,64,32,8.84,125472000,7722844000
1458758241,java,S (sleeping),20166,20032,8.78 %,126 MB,7.7 GB,64,32,8.78,125472000,7722844000
1458758242,java,S (sleeping),20166,20032,8.74 %,126 MB,7.7 GB,64,32,8.74,125472000,7722844000
1458758243,java,S (sleeping),20166,20032,8.70 %,124 MB,7.7 GB,64,32,8.70,124304000,7722844000
