unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458758210,4.789226,186,186,5.26,65.20,5.27,66.53,4.83,58.54,5.12,63.42
1458758211,4.131589,242,428,6.43,74.13,6.65,70.08,5.84,63.91,6.31,69.37
1458758212,3.987953,251,679,7.34,77.02,7.99,79.22,6.45,66.74,7.26,74.33
1458758213,3.915353,255,934,7.65,81.16,8.75,83.56,6.73,68.37,7.71,77.70
1458758214,3.965879,252,1186,7.93,83.21,9.54,87.68,6.87,72.47,8.11,81.12
1458758215,4.032202,248,1434,8.23,85.36,9.93,92.02,6.87,72.47,8.34,83.28
1458758216,4.090296,244,1678,8.46,89.17,10.18,94.06,7.04,74.64,8.56,85.96
1458758217,4.037908,248,1926,9.07,94.25,11.07,102.39,7.23,76.69,9.12,91.11
1458758218,4.112774,243,2169,9.20,98.35,11.34,106.49,7.27,78.64,9.27,94.49
1458758219,4.183339,239,2408,9.27,100.40,11.37,108.54,7.21,80.69,9.28,96.54
1458758220,4.030403,248,2656,9.50,102.59,11.48,112.63,7.38,82.74,9.45,99.32
1458758221,4.149093,241,2897,10.17,107.45,11.98,123.24,8.02,93.20,10.06,107.96
1458758222,4.204760,237,3134,10.27,111.64,12.09,122.12,8.06,93.20,10.14,108.99
1458758223,4.138998,242,3376,10.66,113.86,12.16,122.12,8.21,94.71,10.34,110.23
1458758224,4.257727,235,3611,10.87,124.10,12.26,122.12,8.20,98.81,10.44,115.01
1458758225,4.117293,242,3853,10.98,124.12,12.32,122.12,8.16,98.81,10.49,115.02
1458758226,4.146554,242,4095,11.08,123.67,12.41,122.12,8.09,100.86,10.53,115.55
1458758227,4.176817,239,4334,11.13,123.67,12.43,122.19,8.08,102.90,10.55,116.25
1458758228,4.164437,240,4574,11.16,123.67,12.41,122.19,8.05,103.36,10.54,116.41
1458758229,3.992785,250,4824,11.21,123.67,12.46,122.19,8.04,105.41,10.57,117.09
1458758230,4.073229,246,5070,11.23,123.67,12.51,122.19,8.04,107.46,10.59,117.77
1458758231,4.002408,250,5320,11.45,125.99,12.58,122.19,8.16,112.18,10.73,120.12
1458758232,3.990761,250,5570,12.65,134.46,13.61,127.31,9.01,125.16,11.76,128.98
1458758233,3.913927,255,5825,13.21,133.38,13.76,127.05,9.26,126.51,12.08,128.98
1458758234,3.899313,257,6082,13.18,133.38,13.74,127.05,9.17,126.51,12.03,128.98
1458758235,3.919834,255,6337,13.15,133.38,13.74,127.05,9.14,126.51,12.01,128.98
1458758236,3.983447,251,6588,13.19,130.87,13.93,128.95,9.11,126.51,12.08,128.78
1458758237,3.957203,252,6840,13.19,130.87,14.12,127.36,9.03,126.51,12.11,128.25
1458758238,3.935565,254,7094,13.11,130.87,14.07,127.36,8.96,125.47,12.05,127.90
1458758239,3.946656,253,7347,13.04,130.87,14.14,135.56,8.91,125.47,12.03,130.63
1458758240,3.913849,255,7602,13.00,130.87,14.11,135.56,8.84,125.47,11.98,130.63
1458758241,4.037766,248,7850,12.93,130.42,14.09,135.56,8.78,125.47,11.93,130.48
1458758242,4.052787,247,8097,12.89,130.42,14.06,134.07,8.74,125.47,11.90,129.99
1458758243,4.017194,249,8346,12.85,130.42,14.02,134.07,8.70,124.30,11.86,129.60
1458758244,3.949235,253,8599,12.85,130.42,13.99,134.07,8.66,124.30,11.83,129.60
1458758245,4.081005,245,8844,12.87,140.66,13.95,134.07,8.61,124.30,11.81,133.01
1458758246,3.990436,250,9094,12.85,140.66,13.93,134.07,8.55,124.30,11.78,133.01
1458758247,3.970216,252,9346,12.86,140.66,13.90,134.07,8.52,124.30,11.76,133.01
1458758248,4.015676,249,9595,12.86,140.66,13.90,134.07,8.47,124.30,11.74,133.01
1458758249,4.150025,241,9836,12.84,140.66,13.88,134.07,8.44,124.30,11.72,133.01
1458758250,3.862334,259,10095,12.84,140.69,13.84,137.70,8.36,124.30,11.68,134.23
1458758251,3.940316,253,10348,12.83,140.69,13.83,137.70,8.35,124.30,11.67,134.23
1458758252,4.056539,247,10595,12.80,140.69,13.83,137.70,8.31,124.30,11.65,134.23
1458758253,4.026287,248,10843,12.80,140.69,13.82,137.70,8.29,124.30,11.64,134.23
1458758254,3.969140,252,11095,12.79,140.69,13.82,137.70,8.26,124.30,11.62,134.23
1458758255,3.917845,255,11350,12.76,140.69,13.80,137.70,8.22,124.30,11.59,134.23
1458758256,4.009763,249,11599,12.73,140.69,13.81,137.70,8.20,124.30,11.58,134.23
1458758257,4.020293,249,11848,12.72,140.69,13.81,137.70,8.17,124.30,11.57,134.23
1458758258,3.981662,251,12099,12.69,140.69,13.83,141.79,8.13,124.30,11.55,135.59
1458758259,3.908148,256,12355,12.71,140.69,13.88,141.79,8.10,124.30,11.56,135.59
1458758260,4.184107,239,12594,12.68,140.69,13.85,144.01,8.05,124.30,11.53,136.33
1458758261,4.074213,245,12839,12.70,140.69,13.84,144.01,8.00,127.17,11.51,137.29
1458758262,4.063379,246,13085,12.68,140.69,13.81,144.01,7.98,127.17,11.49,137.29
1458758263,4.065349,246,13331,12.65,140.69,13.80,144.01,8.03,137.64,11.49,140.78
1458758264,4.150924,241,13572,12.63,140.69,13.80,144.01,8.00,137.64,11.48,140.78
1458758265,4.023873,248,13820,12.60,140.69,13.79,144.01,7.98,137.64,11.46,140.78
1458758266,4.028415,248,14068,12.58,140.69,13.79,144.01,7.94,137.64,11.44,140.78
1458758267,4.152186,241,14309,12.61,144.78,13.78,144.01,7.93,137.64,11.44,142.14
1458758268,4.031817,247,14556,12.59,144.78,13.78,144.01,7.91,137.64,11.43,142.14
1458758269,4.073485,246,14802,12.57,144.78,13.78,144.01,7.90,137.64,11.42,142.14
1458758270,4.084103,245,15047,12.56,144.78,13.76,160.19,7.89,137.64,11.40,147.54
1458758271,4.014782,249,15296,12.54,144.78,13.76,160.29,7.87,146.51,11.39,150.53
1458758272,4.044972,247,15543,12.55,144.78,13.76,160.29,7.85,146.51,11.39,150.53
1458758273,3.916666,255,15798,12.55,144.78,13.77,160.29,7.83,146.51,11.38,150.53
1458758274,4.017109,249,16047,12.54,144.78,13.73,160.29,7.81,146.51,11.36,150.53
1458758275,4.016886,248,16295,12.55,144.78,13.71,160.29,7.82,146.51,11.36,150.53
1458758276,3.971770,253,16548,12.55,144.78,13.67,160.29,7.81,146.51,11.34,150.53
1458758277,3.897483,256,16804,12.56,144.78,13.65,160.29,7.78,146.51,11.33,150.53
1458758278,3.958817,253,17057,12.58,144.78,13.72,164.46,7.75,146.51,11.35,151.92
1458758279,3.995109,250,17307,12.58,144.78,13.71,164.46,7.73,146.51,11.34,151.92
1458758280,3.917178,255,17562,12.59,144.78,13.70,174.82,7.71,146.51,11.33,155.37
1458758281,4.060308,246,17808,12.58,144.78,13.68,174.82,7.69,162.77,11.32,160.79
1458758282,4.084639,245,18053,12.57,144.78,13.65,174.82,7.65,162.77,11.29,160.79
1458758283,4.208938,238,18291,12.55,144.78,13.62,174.82,7.64,162.77,11.27,160.79
1458758284,4.084174,243,18534,12.58,144.78,13.62,174.82,7.62,162.77,11.27,160.79
1458758285,4.114634,244,18778,12.57,144.78,13.60,174.82,7.60,162.77,11.26,160.79
1458758286,4.176942,239,19017,12.58,144.78,13.59,174.87,7.57,162.77,11.25,160.81
1458758287,4.101346,244,19261,12.57,144.78,13.57,174.33,7.55,162.77,11.23,160.63
1458758288,4.046960,247,19508,12.57,144.78,13.55,174.33,7.53,162.77,11.22,160.63
1458758289,4.072871,246,19754,12.58,144.78,13.55,174.33,7.52,162.77,11.22,160.63
